waveform	[0]		[1]	
t0	2017-03-02  14:02:44,420843		2017-03-02  14:02:44,420843	
delta t	8,000000E-6		8,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2017-03-02  14:02:44,420843	-4,661092E-1	2017-03-02  14:02:44,420843	-4,460089E-1
2017-03-02  14:02:44,420851	-4,661092E-1	2017-03-02  14:02:44,420851	-4,460089E-1
2017-03-02  14:02:44,420859	-4,661092E-1	2017-03-02  14:02:44,420859	-4,460089E-1
2017-03-02  14:02:44,420867	-4,661092E-1	2017-03-02  14:02:44,420867	-4,460089E-1
2017-03-02  14:02:44,420875	-4,661092E-1	2017-03-02  14:02:44,420875	-4,460089E-1
2017-03-02  14:02:44,420883	-4,661092E-1	2017-03-02  14:02:44,420883	-4,460089E-1
2017-03-02  14:02:44,420891	-4,661092E-1	2017-03-02  14:02:44,420891	-4,460089E-1
2017-03-02  14:02:44,420899	-4,661092E-1	2017-03-02  14:02:44,420899	-4,460089E-1
2017-03-02  14:02:44,420907	-4,661092E-1	2017-03-02  14:02:44,420907	-4,879691E-1
2017-03-02  14:02:44,420915	-4,661092E-1	2017-03-02  14:02:44,420915	-4,460089E-1
2017-03-02  14:02:44,420923	-4,661092E-1	2017-03-02  14:02:44,420923	-4,460089E-1
2017-03-02  14:02:44,420931	-4,661092E-1	2017-03-02  14:02:44,420931	-4,460089E-1
2017-03-02  14:02:44,420939	-4,661092E-1	2017-03-02  14:02:44,420939	-4,460089E-1
2017-03-02  14:02:44,420947	-4,661092E-1	2017-03-02  14:02:44,420947	-4,879691E-1
2017-03-02  14:02:44,420955	-4,661092E-1	2017-03-02  14:02:44,420955	-4,879691E-1
2017-03-02  14:02:44,420963	-4,661092E-1	2017-03-02  14:02:44,420963	-4,460089E-1
2017-03-02  14:02:44,420971	-4,661092E-1	2017-03-02  14:02:44,420971	-4,879691E-1
2017-03-02  14:02:44,420979	-4,661092E-1	2017-03-02  14:02:44,420979	-4,460089E-1
2017-03-02  14:02:44,420987	-4,661092E-1	2017-03-02  14:02:44,420987	-4,460089E-1
2017-03-02  14:02:44,420995	-4,661092E-1	2017-03-02  14:02:44,420995	-4,879691E-1
2017-03-02  14:02:44,421003	-4,661092E-1	2017-03-02  14:02:44,421003	-4,460089E-1
2017-03-02  14:02:44,421011	-4,661092E-1	2017-03-02  14:02:44,421011	-4,460089E-1
2017-03-02  14:02:44,421019	-4,661092E-1	2017-03-02  14:02:44,421019	-4,460089E-1
2017-03-02  14:02:44,421027	-4,661092E-1	2017-03-02  14:02:44,421027	-4,460089E-1
2017-03-02  14:02:44,421035	-4,661092E-1	2017-03-02  14:02:44,421035	-4,460089E-1
2017-03-02  14:02:44,421043	-4,661092E-1	2017-03-02  14:02:44,421043	-4,460089E-1
2017-03-02  14:02:44,421051	-4,661092E-1	2017-03-02  14:02:44,421051	-4,879691E-1
2017-03-02  14:02:44,421059	-4,661092E-1	2017-03-02  14:02:44,421059	-4,460089E-1
2017-03-02  14:02:44,421067	-4,661092E-1	2017-03-02  14:02:44,421067	-4,460089E-1
2017-03-02  14:02:44,421075	-4,661092E-1	2017-03-02  14:02:44,421075	-4,460089E-1
2017-03-02  14:02:44,421083	-4,661092E-1	2017-03-02  14:02:44,421083	-4,460089E-1
2017-03-02  14:02:44,421091	-4,661092E-1	2017-03-02  14:02:44,421091	-4,460089E-1
2017-03-02  14:02:44,421099	-4,661092E-1	2017-03-02  14:02:44,421099	-4,460089E-1
2017-03-02  14:02:44,421107	-4,661092E-1	2017-03-02  14:02:44,421107	-4,460089E-1
2017-03-02  14:02:44,421115	-4,661092E-1	2017-03-02  14:02:44,421115	-4,879691E-1
2017-03-02  14:02:44,421123	-4,661092E-1	2017-03-02  14:02:44,421123	-4,460089E-1
2017-03-02  14:02:44,421131	-4,661092E-1	2017-03-02  14:02:44,421131	-4,460089E-1
2017-03-02  14:02:44,421139	-4,661092E-1	2017-03-02  14:02:44,421139	-4,460089E-1
2017-03-02  14:02:44,421147	-4,661092E-1	2017-03-02  14:02:44,421147	-4,460089E-1
2017-03-02  14:02:44,421155	-4,661092E-1	2017-03-02  14:02:44,421155	-4,460089E-1
2017-03-02  14:02:44,421163	-4,661092E-1	2017-03-02  14:02:44,421163	-4,879691E-1
2017-03-02  14:02:44,421171	-4,661092E-1	2017-03-02  14:02:44,421171	-4,460089E-1
2017-03-02  14:02:44,421179	-4,661092E-1	2017-03-02  14:02:44,421179	-4,460089E-1
2017-03-02  14:02:44,421187	-4,661092E-1	2017-03-02  14:02:44,421187	-4,460089E-1
2017-03-02  14:02:44,421195	-4,661092E-1	2017-03-02  14:02:44,421195	-4,460089E-1
2017-03-02  14:02:44,421203	-4,661092E-1	2017-03-02  14:02:44,421203	-4,460089E-1
2017-03-02  14:02:44,421211	-5,086557E-1	2017-03-02  14:02:44,421211	-4,879691E-1
2017-03-02  14:02:44,421219	-4,661092E-1	2017-03-02  14:02:44,421219	-4,460089E-1
2017-03-02  14:02:44,421227	-4,661092E-1	2017-03-02  14:02:44,421227	-4,879691E-1
2017-03-02  14:02:44,421235	-4,661092E-1	2017-03-02  14:02:44,421235	-4,460089E-1
2017-03-02  14:02:44,421243	-4,661092E-1	2017-03-02  14:02:44,421243	-4,460089E-1
2017-03-02  14:02:44,421251	-4,661092E-1	2017-03-02  14:02:44,421251	-4,460089E-1
2017-03-02  14:02:44,421259	-4,661092E-1	2017-03-02  14:02:44,421259	-4,460089E-1
2017-03-02  14:02:44,421267	-4,661092E-1	2017-03-02  14:02:44,421267	-4,460089E-1
2017-03-02  14:02:44,421275	-4,661092E-1	2017-03-02  14:02:44,421275	-4,460089E-1
2017-03-02  14:02:44,421283	-4,661092E-1	2017-03-02  14:02:44,421283	-4,460089E-1
2017-03-02  14:02:44,421291	-4,661092E-1	2017-03-02  14:02:44,421291	-4,460089E-1
2017-03-02  14:02:44,421299	-4,661092E-1	2017-03-02  14:02:44,421299	-4,460089E-1
2017-03-02  14:02:44,421307	-4,661092E-1	2017-03-02  14:02:44,421307	-4,460089E-1
2017-03-02  14:02:44,421315	-4,661092E-1	2017-03-02  14:02:44,421315	-4,460089E-1
2017-03-02  14:02:44,421323	-5,086557E-1	2017-03-02  14:02:44,421323	-4,460089E-1
2017-03-02  14:02:44,421331	-4,661092E-1	2017-03-02  14:02:44,421331	-4,879691E-1
2017-03-02  14:02:44,421339	-4,661092E-1	2017-03-02  14:02:44,421339	-4,460089E-1
2017-03-02  14:02:44,421347	-4,661092E-1	2017-03-02  14:02:44,421347	-4,460089E-1
2017-03-02  14:02:44,421355	-4,661092E-1	2017-03-02  14:02:44,421355	-4,879691E-1
2017-03-02  14:02:44,421363	-4,661092E-1	2017-03-02  14:02:44,421363	-4,460089E-1
2017-03-02  14:02:44,421371	-5,086557E-1	2017-03-02  14:02:44,421371	-4,460089E-1
2017-03-02  14:02:44,421379	-4,661092E-1	2017-03-02  14:02:44,421379	-4,460089E-1
2017-03-02  14:02:44,421387	-4,661092E-1	2017-03-02  14:02:44,421387	-4,460089E-1
2017-03-02  14:02:44,421395	-4,661092E-1	2017-03-02  14:02:44,421395	-4,460089E-1
2017-03-02  14:02:44,421403	-5,086557E-1	2017-03-02  14:02:44,421403	-4,460089E-1
2017-03-02  14:02:44,421411	-5,086557E-1	2017-03-02  14:02:44,421411	-4,460089E-1
2017-03-02  14:02:44,421419	-5,086557E-1	2017-03-02  14:02:44,421419	-4,460089E-1
2017-03-02  14:02:44,421427	-5,086557E-1	2017-03-02  14:02:44,421427	-4,460089E-1
2017-03-02  14:02:44,421435	-4,661092E-1	2017-03-02  14:02:44,421435	-4,460089E-1
2017-03-02  14:02:44,421443	-4,661092E-1	2017-03-02  14:02:44,421443	-4,460089E-1
2017-03-02  14:02:44,421451	-4,661092E-1	2017-03-02  14:02:44,421451	-4,460089E-1
2017-03-02  14:02:44,421459	-4,661092E-1	2017-03-02  14:02:44,421459	-4,460089E-1
2017-03-02  14:02:44,421467	-4,661092E-1	2017-03-02  14:02:44,421467	-4,460089E-1
2017-03-02  14:02:44,421475	-4,661092E-1	2017-03-02  14:02:44,421475	-4,460089E-1
2017-03-02  14:02:44,421483	-4,661092E-1	2017-03-02  14:02:44,421483	-4,460089E-1
2017-03-02  14:02:44,421491	-4,661092E-1	2017-03-02  14:02:44,421491	-4,460089E-1
2017-03-02  14:02:44,421499	-4,661092E-1	2017-03-02  14:02:44,421499	-4,460089E-1
2017-03-02  14:02:44,421507	-4,661092E-1	2017-03-02  14:02:44,421507	-4,460089E-1
2017-03-02  14:02:44,421515	-4,661092E-1	2017-03-02  14:02:44,421515	-4,460089E-1
2017-03-02  14:02:44,421523	-4,661092E-1	2017-03-02  14:02:44,421523	-4,460089E-1
2017-03-02  14:02:44,421531	-4,661092E-1	2017-03-02  14:02:44,421531	-4,460089E-1
2017-03-02  14:02:44,421539	-5,086557E-1	2017-03-02  14:02:44,421539	-4,460089E-1
2017-03-02  14:02:44,421547	-4,235626E-1	2017-03-02  14:02:44,421547	-4,460089E-1
2017-03-02  14:02:44,421555	-4,661092E-1	2017-03-02  14:02:44,421555	-4,460089E-1
2017-03-02  14:02:44,421563	-4,661092E-1	2017-03-02  14:02:44,421563	-4,460089E-1
2017-03-02  14:02:44,421571	-4,661092E-1	2017-03-02  14:02:44,421571	-4,879691E-1
2017-03-02  14:02:44,421579	-4,661092E-1	2017-03-02  14:02:44,421579	-4,879691E-1
2017-03-02  14:02:44,421587	-4,661092E-1	2017-03-02  14:02:44,421587	-4,879691E-1
2017-03-02  14:02:44,421595	-4,661092E-1	2017-03-02  14:02:44,421595	-4,879691E-1
2017-03-02  14:02:44,421603	-5,086557E-1	2017-03-02  14:02:44,421603	-4,460089E-1
2017-03-02  14:02:44,421611	-4,661092E-1	2017-03-02  14:02:44,421611	-4,460089E-1
2017-03-02  14:02:44,421619	-4,661092E-1	2017-03-02  14:02:44,421619	-4,460089E-1
2017-03-02  14:02:44,421627	-4,661092E-1	2017-03-02  14:02:44,421627	-4,460089E-1
2017-03-02  14:02:44,421635	-4,661092E-1	2017-03-02  14:02:44,421635	-4,460089E-1
2017-03-02  14:02:44,421643	-4,661092E-1	2017-03-02  14:02:44,421643	-4,879691E-1
2017-03-02  14:02:44,421651	-4,661092E-1	2017-03-02  14:02:44,421651	-4,879691E-1
2017-03-02  14:02:44,421659	-4,661092E-1	2017-03-02  14:02:44,421659	-4,460089E-1
2017-03-02  14:02:44,421667	-4,661092E-1	2017-03-02  14:02:44,421667	-4,879691E-1
2017-03-02  14:02:44,421675	-4,661092E-1	2017-03-02  14:02:44,421675	-4,460089E-1
2017-03-02  14:02:44,421683	-4,661092E-1	2017-03-02  14:02:44,421683	-4,460089E-1
2017-03-02  14:02:44,421691	-4,661092E-1	2017-03-02  14:02:44,421691	-4,460089E-1
2017-03-02  14:02:44,421699	-4,661092E-1	2017-03-02  14:02:44,421699	-4,460089E-1
2017-03-02  14:02:44,421707	-4,661092E-1	2017-03-02  14:02:44,421707	-4,460089E-1
2017-03-02  14:02:44,421715	-4,661092E-1	2017-03-02  14:02:44,421715	-4,460089E-1
2017-03-02  14:02:44,421723	-4,661092E-1	2017-03-02  14:02:44,421723	-4,879691E-1
2017-03-02  14:02:44,421731	-4,661092E-1	2017-03-02  14:02:44,421731	-4,460089E-1
2017-03-02  14:02:44,421739	-5,086557E-1	2017-03-02  14:02:44,421739	-4,460089E-1
2017-03-02  14:02:44,421747	-4,661092E-1	2017-03-02  14:02:44,421747	-4,460089E-1
2017-03-02  14:02:44,421755	-4,661092E-1	2017-03-02  14:02:44,421755	-4,460089E-1
2017-03-02  14:02:44,421763	-4,661092E-1	2017-03-02  14:02:44,421763	-4,460089E-1
2017-03-02  14:02:44,421771	-4,661092E-1	2017-03-02  14:02:44,421771	-4,460089E-1
2017-03-02  14:02:44,421779	-4,661092E-1	2017-03-02  14:02:44,421779	-4,460089E-1
2017-03-02  14:02:44,421787	-4,661092E-1	2017-03-02  14:02:44,421787	-4,460089E-1
2017-03-02  14:02:44,421795	-4,661092E-1	2017-03-02  14:02:44,421795	-4,879691E-1
2017-03-02  14:02:44,421803	-4,661092E-1	2017-03-02  14:02:44,421803	-4,460089E-1
2017-03-02  14:02:44,421811	-4,661092E-1	2017-03-02  14:02:44,421811	-4,879691E-1
2017-03-02  14:02:44,421819	-4,661092E-1	2017-03-02  14:02:44,421819	-4,460089E-1
2017-03-02  14:02:44,421827	-5,086557E-1	2017-03-02  14:02:44,421827	-4,879691E-1
2017-03-02  14:02:44,421835	-4,661092E-1	2017-03-02  14:02:44,421835	-4,879691E-1
2017-03-02  14:02:44,421843	-4,661092E-1	2017-03-02  14:02:44,421843	-4,460089E-1
2017-03-02  14:02:44,421851	-4,661092E-1	2017-03-02  14:02:44,421851	-4,460089E-1
2017-03-02  14:02:44,421859	-4,661092E-1	2017-03-02  14:02:44,421859	-4,460089E-1
2017-03-02  14:02:44,421867	-4,661092E-1	2017-03-02  14:02:44,421867	-4,460089E-1
2017-03-02  14:02:44,421875	-5,086557E-1	2017-03-02  14:02:44,421875	-4,879691E-1
2017-03-02  14:02:44,421883	-4,661092E-1	2017-03-02  14:02:44,421883	-4,879691E-1
2017-03-02  14:02:44,421891	-4,661092E-1	2017-03-02  14:02:44,421891	-4,460089E-1
2017-03-02  14:02:44,421899	-4,661092E-1	2017-03-02  14:02:44,421899	-4,460089E-1
2017-03-02  14:02:44,421907	-4,661092E-1	2017-03-02  14:02:44,421907	-4,879691E-1
2017-03-02  14:02:44,421915	-4,661092E-1	2017-03-02  14:02:44,421915	-4,460089E-1
2017-03-02  14:02:44,421923	-4,661092E-1	2017-03-02  14:02:44,421923	-4,460089E-1
2017-03-02  14:02:44,421931	-4,661092E-1	2017-03-02  14:02:44,421931	-4,460089E-1
2017-03-02  14:02:44,421939	-4,661092E-1	2017-03-02  14:02:44,421939	-4,460089E-1
2017-03-02  14:02:44,421947	-4,661092E-1	2017-03-02  14:02:44,421947	-4,460089E-1
2017-03-02  14:02:44,421955	-5,086557E-1	2017-03-02  14:02:44,421955	-4,460089E-1
2017-03-02  14:02:44,421963	-4,661092E-1	2017-03-02  14:02:44,421963	-4,460089E-1
2017-03-02  14:02:44,421971	-4,661092E-1	2017-03-02  14:02:44,421971	-4,460089E-1
2017-03-02  14:02:44,421979	-4,661092E-1	2017-03-02  14:02:44,421979	-4,879691E-1
2017-03-02  14:02:44,421987	-4,661092E-1	2017-03-02  14:02:44,421987	-4,460089E-1
2017-03-02  14:02:44,421995	-5,086557E-1	2017-03-02  14:02:44,421995	-4,879691E-1
2017-03-02  14:02:44,422003	-4,661092E-1	2017-03-02  14:02:44,422003	-4,460089E-1
2017-03-02  14:02:44,422011	-4,661092E-1	2017-03-02  14:02:44,422011	-4,460089E-1
2017-03-02  14:02:44,422019	-4,661092E-1	2017-03-02  14:02:44,422019	-4,460089E-1
2017-03-02  14:02:44,422027	-4,661092E-1	2017-03-02  14:02:44,422027	-4,460089E-1
2017-03-02  14:02:44,422035	-4,661092E-1	2017-03-02  14:02:44,422035	-4,460089E-1
2017-03-02  14:02:44,422043	-4,661092E-1	2017-03-02  14:02:44,422043	-4,460089E-1
2017-03-02  14:02:44,422051	-5,086557E-1	2017-03-02  14:02:44,422051	-4,460089E-1
2017-03-02  14:02:44,422059	-4,661092E-1	2017-03-02  14:02:44,422059	-4,460089E-1
2017-03-02  14:02:44,422067	-4,661092E-1	2017-03-02  14:02:44,422067	-4,460089E-1
2017-03-02  14:02:44,422075	-4,661092E-1	2017-03-02  14:02:44,422075	-4,879691E-1
2017-03-02  14:02:44,422083	-4,661092E-1	2017-03-02  14:02:44,422083	-4,460089E-1
2017-03-02  14:02:44,422091	-4,661092E-1	2017-03-02  14:02:44,422091	-4,460089E-1
2017-03-02  14:02:44,422099	-4,661092E-1	2017-03-02  14:02:44,422099	-4,460089E-1
2017-03-02  14:02:44,422107	-4,661092E-1	2017-03-02  14:02:44,422107	-4,460089E-1
2017-03-02  14:02:44,422115	-5,086557E-1	2017-03-02  14:02:44,422115	-4,460089E-1
2017-03-02  14:02:44,422123	-4,661092E-1	2017-03-02  14:02:44,422123	-4,460089E-1
2017-03-02  14:02:44,422131	-4,661092E-1	2017-03-02  14:02:44,422131	-4,460089E-1
2017-03-02  14:02:44,422139	-4,661092E-1	2017-03-02  14:02:44,422139	-4,460089E-1
2017-03-02  14:02:44,422147	-4,661092E-1	2017-03-02  14:02:44,422147	-4,879691E-1
2017-03-02  14:02:44,422155	-4,661092E-1	2017-03-02  14:02:44,422155	-4,460089E-1
2017-03-02  14:02:44,422163	-4,661092E-1	2017-03-02  14:02:44,422163	-4,460089E-1
2017-03-02  14:02:44,422171	-4,661092E-1	2017-03-02  14:02:44,422171	-4,460089E-1
2017-03-02  14:02:44,422179	-4,661092E-1	2017-03-02  14:02:44,422179	-4,460089E-1
2017-03-02  14:02:44,422187	-4,661092E-1	2017-03-02  14:02:44,422187	-4,460089E-1
2017-03-02  14:02:44,422195	-4,661092E-1	2017-03-02  14:02:44,422195	-4,460089E-1
2017-03-02  14:02:44,422203	-4,661092E-1	2017-03-02  14:02:44,422203	-4,460089E-1
2017-03-02  14:02:44,422211	-4,661092E-1	2017-03-02  14:02:44,422211	-4,879691E-1
2017-03-02  14:02:44,422219	-4,661092E-1	2017-03-02  14:02:44,422219	-4,460089E-1
2017-03-02  14:02:44,422227	-4,661092E-1	2017-03-02  14:02:44,422227	-4,879691E-1
2017-03-02  14:02:44,422235	-5,086557E-1	2017-03-02  14:02:44,422235	-4,460089E-1
2017-03-02  14:02:44,422243	-4,661092E-1	2017-03-02  14:02:44,422243	-4,460089E-1
2017-03-02  14:02:44,422251	-4,661092E-1	2017-03-02  14:02:44,422251	-4,460089E-1
2017-03-02  14:02:44,422259	-4,661092E-1	2017-03-02  14:02:44,422259	-4,460089E-1
2017-03-02  14:02:44,422267	-4,661092E-1	2017-03-02  14:02:44,422267	-4,460089E-1
2017-03-02  14:02:44,422275	-4,661092E-1	2017-03-02  14:02:44,422275	-4,460089E-1
2017-03-02  14:02:44,422283	-4,661092E-1	2017-03-02  14:02:44,422283	-4,460089E-1
2017-03-02  14:02:44,422291	-4,661092E-1	2017-03-02  14:02:44,422291	-4,460089E-1
2017-03-02  14:02:44,422299	5,124622E-1	2017-03-02  14:02:44,422299	-4,460089E-1
2017-03-02  14:02:44,422307	5,124622E-1	2017-03-02  14:02:44,422307	-3,620886E-1
2017-03-02  14:02:44,422315	5,124622E-1	2017-03-02  14:02:44,422315	-3,201284E-1
2017-03-02  14:02:44,422323	5,124622E-1	2017-03-02  14:02:44,422323	-2,781682E-1
2017-03-02  14:02:44,422331	5,124622E-1	2017-03-02  14:02:44,422331	-2,362080E-1
2017-03-02  14:02:44,422339	5,550088E-1	2017-03-02  14:02:44,422339	-2,362080E-1
2017-03-02  14:02:44,422347	5,124622E-1	2017-03-02  14:02:44,422347	-1,522876E-1
2017-03-02  14:02:44,422355	5,124622E-1	2017-03-02  14:02:44,422355	-1,522876E-1
2017-03-02  14:02:44,422363	5,124622E-1	2017-03-02  14:02:44,422363	-1,103274E-1
2017-03-02  14:02:44,422371	5,124622E-1	2017-03-02  14:02:44,422371	-6,836725E-2
2017-03-02  14:02:44,422379	5,124622E-1	2017-03-02  14:02:44,422379	-2,640706E-2
2017-03-02  14:02:44,422387	5,124622E-1	2017-03-02  14:02:44,422387	-2,640706E-2
2017-03-02  14:02:44,422395	5,124622E-1	2017-03-02  14:02:44,422395	1,555313E-2
2017-03-02  14:02:44,422403	5,124622E-1	2017-03-02  14:02:44,422403	5,751331E-2
2017-03-02  14:02:44,422411	5,124622E-1	2017-03-02  14:02:44,422411	9,947350E-2
2017-03-02  14:02:44,422419	5,124622E-1	2017-03-02  14:02:44,422419	9,947350E-2
2017-03-02  14:02:44,422427	5,124622E-1	2017-03-02  14:02:44,422427	1,414337E-1
2017-03-02  14:02:44,422435	5,550088E-1	2017-03-02  14:02:44,422435	1,414337E-1
2017-03-02  14:02:44,422443	5,124622E-1	2017-03-02  14:02:44,422443	1,414337E-1
2017-03-02  14:02:44,422451	5,124622E-1	2017-03-02  14:02:44,422451	1,833939E-1
2017-03-02  14:02:44,422459	5,550088E-1	2017-03-02  14:02:44,422459	1,833939E-1
2017-03-02  14:02:44,422467	5,550088E-1	2017-03-02  14:02:44,422467	2,253541E-1
2017-03-02  14:02:44,422475	5,124622E-1	2017-03-02  14:02:44,422475	2,253541E-1
2017-03-02  14:02:44,422483	5,124622E-1	2017-03-02  14:02:44,422483	2,253541E-1
2017-03-02  14:02:44,422491	5,124622E-1	2017-03-02  14:02:44,422491	2,673142E-1
2017-03-02  14:02:44,422499	5,550088E-1	2017-03-02  14:02:44,422499	3,092744E-1
2017-03-02  14:02:44,422507	5,124622E-1	2017-03-02  14:02:44,422507	3,092744E-1
2017-03-02  14:02:44,422515	5,124622E-1	2017-03-02  14:02:44,422515	3,092744E-1
2017-03-02  14:02:44,422523	5,124622E-1	2017-03-02  14:02:44,422523	3,092744E-1
2017-03-02  14:02:44,422531	5,124622E-1	2017-03-02  14:02:44,422531	3,092744E-1
2017-03-02  14:02:44,422539	4,699156E-1	2017-03-02  14:02:44,422539	3,092744E-1
2017-03-02  14:02:44,422547	5,124622E-1	2017-03-02  14:02:44,422547	3,512346E-1
2017-03-02  14:02:44,422555	5,124622E-1	2017-03-02  14:02:44,422555	3,092744E-1
2017-03-02  14:02:44,422563	5,124622E-1	2017-03-02  14:02:44,422563	3,512346E-1
2017-03-02  14:02:44,422571	5,124622E-1	2017-03-02  14:02:44,422571	3,512346E-1
2017-03-02  14:02:44,422579	5,550088E-1	2017-03-02  14:02:44,422579	3,931948E-1
2017-03-02  14:02:44,422587	5,550088E-1	2017-03-02  14:02:44,422587	3,931948E-1
2017-03-02  14:02:44,422595	5,124622E-1	2017-03-02  14:02:44,422595	3,931948E-1
2017-03-02  14:02:44,422603	5,550088E-1	2017-03-02  14:02:44,422603	3,931948E-1
2017-03-02  14:02:44,422611	5,124622E-1	2017-03-02  14:02:44,422611	3,931948E-1
2017-03-02  14:02:44,422619	5,550088E-1	2017-03-02  14:02:44,422619	3,931948E-1
2017-03-02  14:02:44,422627	5,550088E-1	2017-03-02  14:02:44,422627	4,351550E-1
2017-03-02  14:02:44,422635	5,124622E-1	2017-03-02  14:02:44,422635	4,351550E-1
2017-03-02  14:02:44,422643	5,124622E-1	2017-03-02  14:02:44,422643	3,931948E-1
2017-03-02  14:02:44,422651	5,550088E-1	2017-03-02  14:02:44,422651	4,351550E-1
2017-03-02  14:02:44,422659	5,124622E-1	2017-03-02  14:02:44,422659	4,351550E-1
2017-03-02  14:02:44,422667	5,124622E-1	2017-03-02  14:02:44,422667	4,771152E-1
2017-03-02  14:02:44,422675	5,550088E-1	2017-03-02  14:02:44,422675	4,771152E-1
2017-03-02  14:02:44,422683	5,550088E-1	2017-03-02  14:02:44,422683	4,351550E-1
2017-03-02  14:02:44,422691	5,550088E-1	2017-03-02  14:02:44,422691	4,351550E-1
2017-03-02  14:02:44,422699	5,124622E-1	2017-03-02  14:02:44,422699	4,351550E-1
2017-03-02  14:02:44,422707	5,124622E-1	2017-03-02  14:02:44,422707	4,771152E-1
2017-03-02  14:02:44,422715	5,550088E-1	2017-03-02  14:02:44,422715	4,771152E-1
2017-03-02  14:02:44,422723	5,550088E-1	2017-03-02  14:02:44,422723	4,771152E-1
2017-03-02  14:02:44,422731	5,124622E-1	2017-03-02  14:02:44,422731	4,771152E-1
2017-03-02  14:02:44,422739	4,699156E-1	2017-03-02  14:02:44,422739	4,771152E-1
2017-03-02  14:02:44,422747	5,124622E-1	2017-03-02  14:02:44,422747	4,771152E-1
2017-03-02  14:02:44,422755	5,124622E-1	2017-03-02  14:02:44,422755	4,771152E-1
2017-03-02  14:02:44,422763	5,550088E-1	2017-03-02  14:02:44,422763	4,771152E-1
2017-03-02  14:02:44,422771	5,550088E-1	2017-03-02  14:02:44,422771	4,771152E-1
2017-03-02  14:02:44,422779	5,124622E-1	2017-03-02  14:02:44,422779	4,771152E-1
2017-03-02  14:02:44,422787	5,124622E-1	2017-03-02  14:02:44,422787	4,771152E-1
2017-03-02  14:02:44,422795	5,124622E-1	2017-03-02  14:02:44,422795	4,771152E-1
2017-03-02  14:02:44,422803	5,124622E-1	2017-03-02  14:02:44,422803	4,771152E-1
2017-03-02  14:02:44,422811	5,550088E-1	2017-03-02  14:02:44,422811	4,771152E-1
2017-03-02  14:02:44,422819	5,124622E-1	2017-03-02  14:02:44,422819	4,771152E-1
2017-03-02  14:02:44,422827	5,550088E-1	2017-03-02  14:02:44,422827	4,771152E-1
2017-03-02  14:02:44,422835	5,550088E-1	2017-03-02  14:02:44,422835	4,771152E-1
2017-03-02  14:02:44,422843	5,550088E-1	2017-03-02  14:02:44,422843	4,771152E-1
2017-03-02  14:02:44,422851	5,124622E-1	2017-03-02  14:02:44,422851	4,771152E-1
