2017-03-02	14:09
Amplitude: 2,00 V
Freq  (Hz) 	 Gain (dB)  	 Phase (deg)
 10,058            -20,188             -0,455
 15,832            -20,193             -0,740
 25,146            -20,191             -1,232
 39,861            -20,200             -2,026
 63,144            -20,202             -3,070
100,024            -20,223             -4,834
158,511            -20,270             -7,520
251,271            -20,380            -12,032
398,047            -20,664            -18,667
630,878            -21,288            -28,216
1000,054            -22,571            -40,202
1584,925            -24,699            -53,400
2511,963            -27,642            -64,777
3981,031            -31,156            -73,417
6309,524            -35,000            -78,352
9999,983            -38,843            -82,593
15848,875            -42,819            -85,292
25118,887            -46,808            -86,866
39810,687            -50,835            -87,601
63095,801            -55,202            -87,730
100000,016            -58,720            -83,755
